        Frequency / GHz                Eps''_datasheet/real
----------------------------------------------------------------------
                       8                           0.012
                     8.5                           0.012
                       9                           0.012
                     9.5                           0.012
                      10                           0.012
                    10.5                           0.012
                      11                           0.012
                    11.5                           0.012
                      12                           0.012

        Frequency / GHz                Eps''_estimated/real
----------------------------------------------------------------------
                       8                    0.0030976923
                     8.5                    0.0030033808
                       9                    0.0029123384
                     9.5                    0.0031010415
                      10                    0.0032392572
                    10.5                    0.0031639451
                      11                    0.0031257406
                    11.5                    0.0030689708
                      12                    0.0026336377

