        Frequency / GHz                Eps'_datasheet/real
----------------------------------------------------------------------
                       8                               3
                     8.5                               3
                       9                               3
                     9.5                               3
                      10                               3
                    10.5                               3
                      11                               3
                    11.5                               3
                      12                               3

        Frequency / GHz                Eps'_estimated/real
----------------------------------------------------------------------
                       8                       3.1047671
                     8.5                       2.8365432
                       9                       2.6080852
                     9.5                       2.4106591
                      10                       2.2386388
                    10.5                       2.0888088
                      11                       1.9568015
                    11.5                       1.8397792
                      12                       1.4361344

