Frequency / GHz	EpsRePLA	EpsRePET	TgdPLA	TgdPET
8	3.1039383	3.0744829	0.0010058818	0.0010932144
8.1	3.0468915	3.0179332	0.0010314167	0.0010545724
8.2	2.9916173	2.9632284	0.0010879749	0.0010898177
8.3	2.9383565	2.9101383	0.0012575141	0.0011514921
8.4	2.8857532	2.8590121	0.0011195025	0.0011394571
8.5	2.8357292	2.8077512	0.0010679646	0.0018555397
8.6	2.7872848	2.7599102	0.0010081513	0.0011738851
8.7	2.7402133	2.7133012	0.00104559	0.0011695562
8.8	2.6944831	2.6679887	0.0010500727	0.0012553449
8.9	2.6502078	2.6230088	0.0010942201	0.0014062163
9	2.6072074	2.5809628	0.0011148781	0.001218247
9.1	2.5655046	2.5387578	0.0011390602	0.0012681086
9.2	2.5248631	2.4991354	0.0011941761	0.0013646078
9.3	2.4853245	2.4598286	0.0012325979	0.0012180451
9.4	2.4470053	2.4217391	0.0012659114	0.001288399
9.5	2.4097813	2.3847708	0.0012976641	0.0012927132
9.6	2.3736367	2.3491296	0.0013167603	0.0012529473
9.7	2.3385677	2.3140824	0.0013354335	0.0013583571
9.8	2.3041484	2.280002	0.0013829496	0.0013892959
9.9	2.2706376	2.2468129	0.0014234221	0.0014165809
10	2.237776	2.2147303	0.0014508329	0.0014364095
10.1	2.2062181	2.1839219	0.0014825678	0.0016807306
10.2	2.1755499	2.1515116	0.0015146736	0.0017349491
10.3	2.1455574	2.1224879	0.0015226195	0.001477252
10.4	2.1164254	2.0936096	0.0014951869	0.0014499763
10.5	2.0879267	2.065276	0.0014979996	0.0014718708
10.6	2.060126	2.0377178	0.0015031713	0.0014741046
10.7	2.0330839	2.0109169	0.0015017728	0.0014989343
10.8	2.0067833	1.9845996	0.0015512797	0.0016001605
10.9	1.9810386	1.9590526	0.0015396622	0.0015280838
11	1.9559118	1.9340296	0.0016024727	0.0015326889
11.1	1.9313106	1.9097248	0.0015689922	0.0014854403
11.2	1.9074848	1.8860682	0.0016138179	0.0014641104
11.3	1.8840892	1.8628975	0.0016398785	0.0015029371
11.4	1.8613684	1.8401015	0.00164032	0.0015273493
11.5	1.8389378	1.8182705	0.0016935125	0.0013928785
11.6	1.8171576	1.7965992	0.0016926283	0.0015575236
11.7	1.7954674	1.7752941	0.0017892671	0.0015892259
11.8	1.7745916	1.7550779	0.0016926268	0.0016066293
11.9	1.7543984	1.7337962	0.0017408602	0.0022446457
12	1.7345977	1.7142978	0.0017362878	0.0016643959
