Freq	Apet149	Apet199	Apla149	Apla199
8.00	-3.318829560413000	-2.515377206793101	-2.056809714876096	-2.213118112159276
8.02	-3.628420881575475	-2.301150680288097	-2.370360879654867	-1.988430771499868
8.04	-3.898085697427838	-2.257053108310203	-2.698506288669786	-1.932498580586269
8.06	-4.119141680922656	-2.383492734184237	-3.015830054521760	-2.052386763293497
8.08	-4.288166407319291	-2.648435394712390	-3.309126365000443	-2.313105301861117
8.10	-4.399758323897951	-2.997135576070456	-3.561968391940515	-2.661388859616585
8.12	-4.451222076117809	-3.369778228256891	-3.760743603478705	-3.037759527992671
8.14	-4.443965965495240	-3.722350448771382	-3.904867067487367	-3.395225278272243
8.16	-4.377499138180694	-4.030238312621895	-3.998983470814718	-3.707319974299556
8.18	-4.254708925109300	-4.262762466690949	-4.034264925224926	-3.945974938376508
8.20	-4.083196284511356	-4.414338795056985	-4.015237679006580	-4.104149038370823
8.22	-3.866459128795548	-4.478218055956533	-3.944975742070664	-4.175472202616677
8.24	-3.608664157827333	-4.454496726069707	-3.824558596031932	-4.159636352726117
8.26	-3.321317625281717	-4.344164743122807	-3.655701283592747	-4.058800020058474
8.28	-3.015793805289772	-4.154770030794824	-3.446757771968469	-3.877288524302476
8.30	-2.708382621453561	-3.896141297548912	-3.203107000500034	-3.627121994872232
8.32	-2.416621264216056	-3.586773032425528	-2.934824868882938	-3.322764395548442
8.34	-2.164280730783534	-3.254737643608096	-2.651362883322541	-2.986043041717756
8.36	-1.964014794908684	-2.912148114208998	-2.365868592204483	-2.643701193667238
8.38	-1.807393768754120	-2.584530116977604	-2.091547747704200	-2.324995082141481
8.40	-1.730432761131700	-2.328733492625688	-1.847842084003247	-2.070432284783168
8.42	-1.739121449878484	-2.176815245162194	-1.654820643497326	-1.914916184463823
8.44	-1.822332167334922	-2.145585932613281	-1.520512637836051	-1.876098557935189
8.46	-1.973336009602027	-2.237417444143760	-1.458979587689250	-1.960106206230554
8.48	-2.169988401048361	-2.424925893610594	-1.474495520238184	-2.142810621098968
8.50	-2.396217179107685	-2.668316709515116	-1.562010591513728	-2.391467653425996
8.52	-2.636745921124329	-2.943355835086006	-1.707972214405426	-2.669623967115891
8.54	-2.866387911313638	-3.216284506005390	-1.897373610878499	-2.946794146565045
8.56	-3.068391810007004	-3.460814663958743	-2.111929498541116	-3.194741470609394
8.58	-3.248202148118488	-3.660729152306060	-2.336444072534455	-3.397092221619697
8.60	-3.398232590371059	-3.802670143149414	-2.558488458111585	-3.541566183759616
8.62	-3.512666448816254	-3.880308569897506	-2.760039013356901	-3.620155809975005
8.64	-3.588355886699954	-3.890564655860634	-2.934881788520282	-3.632283723279522
8.66	-3.623642213727504	-3.834269258770678	-3.081618245839986	-3.577818044464194
8.68	-3.617072037850045	-3.713289375688664	-3.192858962413606	-3.458529134165422
8.70	-3.572514695177525	-3.537207345899458	-3.267002074109895	-3.284402308763715
8.72	-3.493857731200207	-3.318411158039815	-3.306150844808324	-3.067852673817090
8.74	-3.378417930264000	-3.067654202601964	-3.305873637353906	-2.819606062465628
8.76	-3.226563908686340	-2.807353795167564	-3.270114511244588	-2.558757849831121
8.78	-3.049434235565392	-2.567241026600404	-3.198926432509720	-2.310004429140530
8.80	-2.854837588942042	-2.358283314306285	-3.097686506864952	-2.096574710011367
8.82	-2.646676767895827	-2.188416497433686	-2.968824392706161	-1.941465060662830
8.84	-2.433352683327258	-2.102814893094853	-2.804560639903604	-1.863404502781440
8.86	-2.230298316380499	-2.118797418804864	-2.624186387853928	-1.874871142354110
8.88	-2.056376550118351	-2.293307806615728	-2.443872631912917	-1.989099662902522
8.90	-1.881847770103222	-2.398759580459307	-2.219655331743006	-2.131364882963075
8.92	-1.753352775178369	-2.558459835170501	-2.013709338824928	-2.320829420569080
8.94	-1.679991206886556	-2.776421459796007	-1.831120973776557	-2.543140536213827
8.96	-1.659319209741356	-2.999681651398168	-1.673273815005210	-2.764891309723963
8.98	-1.693323040822433	-3.209778489275347	-1.552248037282535	-2.966007226124395
9.00	-1.777046736000345	-3.376040879836063	-1.476641268717161	-3.133660837918425
9.02	-1.903997183717692	-3.497253109585565	-1.456230635972716	-3.261752087593095
9.04	-2.063306473517757	-3.580883599281156	-1.485927814068056	-3.331722748020602
9.06	-2.223497964102907	-3.742119209351057	-1.548619471220006	-3.327474354321901
9.08	-2.400149148762112	-3.531377909161358	-1.658952810943336	-3.279531490222224
9.10	-2.576478812505883	-3.402301395754795	-1.798842477815857	-3.180319726624419
9.12	-2.742944447396449	-3.256851269185071	-1.959172442110343	-3.036134599146422
9.14	-2.890621081992829	-3.075430180008122	-2.128098175923347	-2.854401292033380
9.16	-3.016772746527445	-2.872461895090626	-2.298829370722016	-2.649585739391516
9.18	-3.113412428620125	-2.661044028355740	-2.459012162840635	-2.436594431911455
9.20	-3.185195298016595	-2.471472786565409	-2.607521895585296	-2.239496022937380
9.22	-3.222635711747798	-2.281226173226876	-2.732418973754190	-2.064932763792981
9.24	-3.227256232984024	-2.141533288858223	-2.829601636815227	-1.940735131508714
9.26	-3.208087865847106	-2.080285704431492	-2.902024936269592	-1.881323152584260
9.28	-3.157671919053560	-2.091309413735016	-2.945771652750996	-1.892988462108452
9.30	-3.061525726811162	-2.171025301331421	-2.962078830484090	-1.971942526300349
9.32	-2.939661377170794	-2.308809507997228	-2.948648488172839	-2.107597708372759
9.34	-2.799034925000624	-2.486809397337082	-2.906469050659042	-2.284380762487165
9.36	-2.642165946677569	-2.686135923525959	-2.834147801855020	-2.482937628254895
9.38	-2.474848025573539	-2.886716097029644	-2.733594479161322	-2.683597529048685
9.40	-2.303184816088625	-3.072789605554053	-2.611972745655233	-2.871635070896348
9.42	-2.134896072482278	-3.229095473391670	-2.469441065037468	-3.030590299270751
9.44	-1.978769997611295	-3.345190537917599	-2.313264877948533	-3.149899108115171
9.46	-1.846569759063875	-3.416836296004397	-2.150497665184752	-3.226048600571255
9.48	-1.745663594520175	-3.439585536705521	-1.987927901868232	-3.253973617790705
9.50	-1.681181015995001	-3.410627103579473	-1.832028618294141	-3.229188746976849
9.52	-1.660801168226335	-3.334981667408633	-1.693904146513311	-3.155992154518229
9.54	-1.685870125374646	-3.213849241489420	-1.583231052664525	-3.037085927183645
9.56	-1.756998127339271	-3.057095727338470	-1.508199467587988	-2.882188683940130
9.58	-1.868168830753216	-2.875044192648152	-1.471594782340183	-2.701727149740163
9.60	-2.000019023739603	-2.680714492893729	-1.477641239833709	-2.506494757625607
9.62	-2.146869447702168	-2.492611647322114	-1.527176098153411	-2.316547311453822
9.64	-2.308605471330334	-2.332942800067889	-1.616156580994074	-2.149351955205074
9.66	-2.474004820168280	-2.213051644632481	-1.737262657226346	-2.023789559794231
9.68	-2.635153899659940	-2.139058291139474	-1.872031680398670	-1.953279138776361
9.70	-2.782238716751376	-2.133069674289124	-2.021461493994366	-1.946629927255331
9.72	-2.912432147315455	-2.197259802675557	-2.179396528928061	-2.006230274164012
9.74	-3.021651237381919	-2.322830894214986	-2.338811283275569	-2.125095039191164
9.76	-3.104824183369011	-2.492962563762009	-2.489664776671739	-2.288172961986373
9.78	-3.159294581023635	-2.688097620602428	-2.625138792759683	-2.477191918025449
9.80	-3.182924879967648	-2.889323899468682	-2.740798822287010	-2.675008050191094
9.82	-3.178448385918146	-3.082667726487014	-2.836975882636279	-2.866177513549370
9.84	-3.143394243029530	-3.250112846193189	-2.905036544102631	-3.031194433098501
