Angle	Ae-graph	Phe-graph	Ah-graph	Phh-graph	Ae-emi	Phe-emi	Ah-emi	Phh-emi	Ae-lens	Phe-lens	Ah-lens	Phh-lens
-180.000	-98.048	-131.514	-96.886	45.394	-89.356	25.018	-89.710	105.195	-90.35720062	-157.3543396	-88.87874603	-44.03795624
-179.000	-97.102	-130.756	-97.127	47.836	-89.412	22.861	-89.451	104.175	-90.07642365	-157.9809265	-88.98362732	-46.11507416
-178.000	-97.731	-132.786	-96.485	46.761	-89.619	21.762	-90.294	103.712	-90.01927948	-158.6798553	-89.05363464	-47.94734573
-177.000	-97.387	-131.776	-96.925	47.888	-89.626	18.704	-90.433	101.996	-90.47834778	-157.849884	-88.98332977	-49.36229706
-176.000	-97.788	-132.331	-96.582	43.156	-89.687	16.811	-90.704	100.141	-90.8937912	-156.7256775	-89.12601471	-51.59631729
-175.000	-98.016	-130.593	-96.728	48.036	-90.451	13.218	-91.115	97.637	-91.40997314	-156.2648468	-89.01966858	-52.84951019
-174.000	-97.992	-128.969	-96.218	48.660	-90.519	9.909	-91.812	95.230	-92.18276215	-155.0990448	-89.27957153	-55.40626144
-173.000	-98.081	-135.170	-96.313	45.512	-91.269	5.217	-92.395	91.797	-92.99353027	-154.3434448	-89.29386902	-56.89849854
-172.000	-98.557	-132.200	-96.138	47.064	-91.502	1.475	-93.241	84.562	-93.71315765	-153.7365417	-89.53165436	-59.93670654
-171.000	-99.105	-134.234	-95.847	45.386	-91.459	-3.912	-93.917	81.722	-94.96927643	-153.7180176	-89.80332947	-60.26406479
-170.000	-100.027	-132.628	-95.806	41.385	-91.577	-9.887	-94.234	74.919	-95.52522278	-157.5814056	-89.98713684	-63.69157028
-169.000	-101.070	-130.590	-96.250	46.352	-91.281	-16.160	-94.695	68.254	-96.7983017	-161.6327209	-90.2430191	-64.64044952
-168.000	-102.126	-127.335	-95.586	42.486	-90.933	-18.384	-95.445	60.407	-97.33837891	-165.6928558	-90.4213562	-67.1789856
-167.000	-103.946	-115.903	-96.148	46.970	-90.483	-21.201	-94.858	51.982	-97.4461441	-172.9904633	-90.8420639	-70.16564178
-166.000	-105.429	-108.741	-96.625	48.659	-90.413	-21.934	-94.625	45.746	-97.15149689	-178.8440704	-91.37107086	-72.77116394
-165.000	-109.308	-86.854	-96.027	47.328	-89.877	-20.040	-93.843	43.893	-96.85211945	176.0506439	-91.31546021	-75.51810455
-164.000	-112.469	-74.595	-96.617	51.493	-89.953	-17.283	-93.233	38.711	-96.51638794	174.4051819	-91.42695618	-76.22944641
-163.000	-110.111	-15.423	-96.744	55.749	-89.711	-11.551	-93.104	38.916	-95.97195435	177.2194824	-91.7977066	-78.49633026
-162.000	-105.292	15.122	-97.412	58.877	-89.777	-3.316	-92.162	38.576	-95.29264832	-177.8187408	-92.00354767	-78.9017334
-161.000	-104.092	34.792	-96.976	59.453	-89.822	5.576	-91.704	42.787	-94.72507477	-171.9782257	-91.9180069	-80.19329834
-160.000	-102.285	39.086	-97.064	63.411	-89.857	16.462	-91.265	46.422	-94.06624603	-163.4980316	-91.60053253	-81.60385895
