freq	AbsS11graph	PhsS11graph	AbsS11emi	PhsS11emi
8.00	-2.388700730474591E1	-1.197105637564867E2	-1.848877709717476E1	-1.709122294085706E2
8.02	-2.383098653704160E1	-1.163497356395219E2	-1.838513190511702E1	-1.702195254538746E2
8.04	-2.400260237304774E1	-1.122473272928381E2	-1.837308495306188E1	-1.700254677326999E2
8.06	-2.404878692895803E1	-1.085066848538170E2	-1.832718200963062E1	-1.694806841551252E2
8.08	-2.394567192631053E1	-1.057824318788204E2	-1.837124957251541E1	-1.693621158203902E2
8.10	-2.389514947915473E1	-1.026252517638085E2	-1.836932969337234E1	-1.688815535776133E2
8.12	-2.384369762061431E1	-9.895353304113421E1	-1.832557930573683E1	-1.691629916945561E2
8.14	-2.373826571610587E1	-9.567570728601010E1	-1.833751849225090E1	-1.688719059770787E2
8.16	-2.370914542260396E1	-9.176163251993104E1	-1.826874665185973E1	-1.685628039145387E2
8.18	-2.367841210356662E1	-8.830804806472985E1	-1.826677742263272E1	-1.686911511802474E2
8.20	-2.385662462236295E1	-8.605214691468473E1	-1.829002096415941E1	-1.685858471126550E2
8.22	-2.379284325007874E1	-8.315220600202913E1	-1.827377105516379E1	-1.686907428461585E2
8.24	-2.373857669874208E1	-8.040421862593935E1	-1.831129884917885E1	-1.692507197817046E2
8.26	-2.374640471482447E1	-7.772411569481049E1	-1.831207010693146E1	-1.691674408493382E2
8.28	-2.369849248489384E1	-7.577823260397122E1	-1.824769555168750E1	-1.696273133999753E2
8.30	-2.366717356302999E1	-7.234821612670660E1	-1.827369579293761E1	-1.697300426376412E2
8.32	-2.359038693309554E1	-7.020664600534981E1	-1.830108267760830E1	-1.695661965443458E2
8.34	-2.360424673051150E1	-6.775932733834462E1	-1.829992337445002E1	-1.693948286798105E2
8.36	-2.374281094835242E1	-6.553409247111291E1	-1.828476430053318E1	-1.694267376668675E2
8.38	-2.376906002677568E1	-6.316755995938594E1	-1.833124802905111E1	-1.700743761371775E2
8.40	-2.366285599125817E1	-6.141248165309332E1	-1.837004673971383E1	-1.703039974791818E2
8.42	-2.370446756134482E1	-5.979614752489295E1	-1.839165547700314E1	-1.706590199622915E2
8.44	-2.373527827014351E1	-5.764556810493365E1	-1.847407803253137E1	-1.706518943319365E2
8.46	-2.363352069465474E1	-5.515364262469205E1	-1.845039187759668E1	-1.709061363863701E2
8.48	-2.367147304269077E1	-5.299782890752637E1	-1.861092378756240E1	-1.707243446530216E2
8.50	-2.384051983809679E1	-5.089088186865134E1	-1.863941863788853E1	-1.703673947638540E2
8.52	-2.393137056892421E1	-4.874538614551577E1	-1.868626124112343E1	-1.708505006521074E2
8.54	-2.404748463772596E1	-4.758445853420270E1	-1.887834836133704E1	-1.708967069717889E2
8.56	-2.419820870664086E1	-4.579724406555015E1	-1.886096347653649E1	-1.705653117786230E2
8.58	-2.423307742573956E1	-4.431649909176595E1	-1.890559563936897E1	-1.709753212356207E2
8.60	-2.434225997439551E1	-4.251747872208016E1	-1.897755751159135E1	-1.706783411206159E2
8.62	-2.450274112734366E1	-4.012577582286611E1	-1.900675406886714E1	-1.705662524391780E2
8.64	-2.468979148828306E1	-3.787451884781916E1	-1.911051066842983E1	-1.709845820848340E2
8.66	-2.498309399475283E1	-3.693034508299833E1	-1.921553731003010E1	-1.707029916755648E2
8.68	-2.549832673368703E1	-3.437577299396869E1	-1.923388971749459E1	-1.708427381306528E2
8.70	-2.558240227308544E1	-3.292201837126882E1	-1.939667222541133E1	-1.709672345913888E2
8.72	-2.586519334046206E1	-3.229839445933866E1	-1.945023995059563E1	-1.707771065948934E2
8.74	-2.605996785699840E1	-3.011817591975854E1	-1.955937020275108E1	-1.707807992157096E2
8.76	-2.610620375604484E1	-2.774800232895387E1	-1.951727902065091E1	-1.703986416848530E2
8.78	-2.628243446984315E1	-2.525835610199494E1	-1.967299034022038E1	-1.706332501969098E2
8.80	-2.663755228330679E1	-2.231030038786316E1	-1.977436009260213E1	-1.702955635618784E2
8.82	-2.693731098912378E1	-1.877025452583075E1	-1.983956436023199E1	-1.701149828831680E2
8.84	-2.740231629215617E1	-1.634762296444269E1	-1.998674930846817E1	-1.700533142462605E2
8.86	-2.782355047465060E1	-1.344461030807390E1	-2.013779484777588E1	-1.700992614847273E2
8.88	-2.801611550186170E1	-1.046283376949293E1	-2.020692575142974E1	-1.695351329759385E2
8.90	-2.836897686498157E1	-8.743510489846885	-2.026257755462150E1	-1.698573053543306E2
8.92	-2.866252238207668E1	-4.633086631454137	-2.043584755426928E1	-1.688554580364321E2
8.94	-2.873459265542432E1	-8.188772354469477E-1	-2.041879778871549E1	-1.687277293847955E2
8.96	-2.916348907532888E1	1.541195148629656	-2.057756766336429E1	-1.684361055085977E2
8.98	-2.962670177609932E1	6.645581710473242	-2.071636202483004E1	-1.681217633831344E2
9.00	-2.992806592515460E1	9.103790333655246	-2.074964030348196E1	-1.677642885176745E2
9.02	-3.030669447977719E1	1.059316631151439E1	-2.081277858549956E1	-1.674665036843304E2
9.04	-3.062394304059488E1	1.334336866584795E1	-2.080174524218914E1	-1.671154887827741E2
9.06	-3.074743646818951E1	1.681193839517356E1	-2.088949904567418E1	-1.665472452800366E2
9.08	-3.090480417880610E1	1.735665998292765E1	-2.088401457356825E1	-1.655697578978839E2
9.10	-3.095980136691357E1	2.226569180854976E1	-2.092439135563159E1	-1.657962709563975E2
9.12	-3.125301185120874E1	2.711117490757236E1	-2.106671360525785E1	-1.649565805856190E2
9.14	-3.163575952256427E1	3.009537952818453E1	-2.105200111151406E1	-1.650575826872538E2
9.16	-3.253888825131057E1	3.380942798385476E1	-2.110631004088506E1	-1.651818679648143E2
9.18	-3.268056353765528E1	3.790046115607341E1	-2.112160034398110E1	-1.650091884672987E2
9.20	-3.307823344643167E1	3.781441928036608E1	-2.107544955447667E1	-1.650174621345644E2
9.22	-3.388861696885476E1	4.048568887139888E1	-2.110173665366829E1	-1.641162109157936E2
9.24	-3.369152682360409E1	4.344060454539316E1	-2.106113711216159E1	-1.635334335469341E2
9.26	-3.372479497817195E1	4.429292240406959E1	-2.111737615218674E1	-1.630351220776730E2
9.28	-3.433295241590950E1	5.023652356319391E1	-2.114284841859796E1	-1.621663483822890E2
9.30	-3.461995710201829E1	5.461428888386327E1	-2.120146562419482E1	-1.617289991352464E2
9.32	-3.533791955125030E1	5.709828874053848E1	-2.120329189833383E1	-1.617076371342168E2
9.34	-3.622176596947718E1	6.322121400072843E1	-2.121093796482542E1	-1.612134627373756E2
9.36	-3.677438922660476E1	6.173440396356998E1	-2.118119759519602E1	-1.611127663084355E2
9.38	-3.707067811357455E1	5.993647115518797E1	-2.118624382644400E1	-1.603947920229066E2
9.40	-3.777803369222058E1	6.147631303428894E1	-2.118469606687204E1	-1.600184713635196E2
9.42	-3.739029659432553E1	6.282501528916269E1	-2.122123164991889E1	-1.592641684088850E2
9.44	-3.778174861006889E1	6.609763628039600E1	-2.121856705157578E1	-1.591808395548667E2
9.46	-3.860970080603006E1	6.810853536941808E1	-2.126921023316517E1	-1.591733860346785E2
9.48	-3.956148534438397E1	7.160189088929612E1	-2.121573001086924E1	-1.592847863267218E2
9.50	-4.078850067681132E1	7.360775284206956E1	-2.117844417046203E1	-1.593564807945324E2
9.52	-4.170491054666842E1	6.207107957772585E1	-2.106657700208009E1	-1.594285626453205E2
9.54	-4.418249532358166E1	5.245390607141534E1	-2.100881239557873E1	-1.589874677268109E2
9.56	-4.391703900469812E1	5.231661878441075E1	-2.095213002627401E1	-1.584336538726930E2
9.58	-4.286724589414976E1	4.085270244032162E1	-2.098006855706701E1	-1.583914423106412E2
9.60	-4.446255221662813E1	3.049927371931870E1	-2.102018347910101E1	-1.572191284377093E2
9.62	-4.616358902599211E1	3.494693218051962E1	-2.100937318896132E1	-1.572386626237098E2
9.64	-4.596250551924412E1	9.652372118294059	-2.104408135971585E1	-1.572923406708248E2
9.66	-4.649043682704057E1	-1.833622265541373E1	-2.104663340232590E1	-1.569778768884635E2
9.68	-4.483017295844877E1	-2.043534119330321E1	-2.103901930943769E1	-1.563691307391586E2
9.70	-4.129154412551952E1	-3.057562746801541E1	-2.103902087022324E1	-1.561914669651551E2
9.72	-4.045885393918317E1	-4.324257645239353E1	-2.102957517227516E1	-1.555364301558829E2
9.74	-4.008451025904868E1	-3.769815003690396E1	-2.104710625703236E1	-1.551558330424863E2
