Angle	AeOpt	Ae180	Ae140	Ae140Lens	Ae140thin
-180	-2.360e+000	-1.722e+000	-7.464e+000	-2.924e+000	-2.099e+000
-179	-2.435e+000	-1.803e+000	-7.494e+000	-2.951e+000	-2.176e+000
-178	-2.662e+000	-2.046e+000	-7.585e+000	-3.030e+000	-2.410e+000
-177	-3.048e+000	-2.458e+000	-7.737e+000	-3.162e+000	-2.808e+000
-176	-3.603e+000	-3.052e+000	-7.951e+000	-3.347e+000	-3.382e+000
-175	-4.346e+000	-3.844e+000	-8.225e+000	-3.584e+000	-4.150e+000
-174	-5.299e+000	-4.859e+000	-8.561e+000	-3.873e+000	-5.142e+000
-173	-6.495e+000	-6.125e+000	-8.959e+000	-4.214e+000	-6.397e+000
-172	-7.975e+000	-7.672e+000	-9.419e+000	-4.605e+000	-7.973e+000
-171	-9.772e+000	-9.496e+000	-9.942e+000	-5.045e+000	-9.944e+000
-170	-1.186e+001	-1.146e+001	-1.053e+001	-5.533e+000	-1.237e+001
-169	-1.395e+001	-1.301e+001	-1.117e+001	-6.066e+000	-1.506e+001
-168	-1.513e+001	-1.329e+001	-1.188e+001	-6.642e+000	-1.678e+001
-167	-1.461e+001	-1.226e+001	-1.265e+001	-7.257e+000	-1.589e+001
-166	-1.313e+001	-1.078e+001	-1.348e+001	-7.907e+000	-1.372e+001
-165	-1.164e+001	-9.452e+000	-1.436e+001	-8.587e+000	-1.175e+001
-164	-1.050e+001	-8.427e+000	-1.529e+001	-9.292e+000	-1.025e+001
-163	-9.735e+000	-7.727e+000	-1.626e+001	-1.001e+001	-9.194e+000
-162	-9.351e+000	-7.331e+000	-1.724e+001	-1.075e+001	-8.513e+000
-161	-9.323e+000	-7.219e+000	-1.823e+001	-1.149e+001	-8.157e+000
-160	-9.640e+000	-7.371e+000	-1.920e+001	-1.223e+001	-8.091e+000
-159	-1.029e+001	-7.767e+000	-2.013e+001	-1.296e+001	-8.296e+000
-158	-1.124e+001	-8.375e+000	-2.100e+001	-1.369e+001	-8.754e+000
-157	-1.240e+001	-9.134e+000	-2.179e+001	-1.440e+001	-9.443e+000
-156	-1.349e+001	-9.926e+000	-2.252e+001	-1.510e+001	-1.032e+001
-155	-1.407e+001	-1.057e+001	-2.320e+001	-1.580e+001	-1.128e+001
-154	-1.383e+001	-1.085e+001	-2.386e+001	-1.652e+001	-1.214e+001
-153	-1.300e+001	-1.071e+001	-2.450e+001	-1.725e+001	-1.263e+001
-152	-1.203e+001	-1.026e+001	-2.514e+001	-1.802e+001	-1.258e+001
